2026-05-05T13:10:48.719288 INFO  [Backend] GET /api/v1/dashboard 200 - Request processed successfully (0.0817s)
2026-05-05T14:14:37.093826 CRITICAL  [SearchService] POST /api/v1/search 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:37.093828 CRITICAL  [SearchService] POST /api/v1/search 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:39.447315 CRITICAL  [SearchService] GET /api/v1/search 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:39.447361 CRITICAL  [Backend] GET /api/v1/dashboard 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:39.447380 CRITICAL  [Backend] POST /api/v1/dashboard 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:39.447393 CRITICAL  [Backend] POST /api/v1/dashboard 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:39.447405 CRITICAL  [SearchService] POST /api/v1/search 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:39.447416 CRITICAL  [Backend] POST /api/v1/dashboard 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:39.447427 CRITICAL  [Backend] POST /api/v1/login 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:39.447437 CRITICAL  [Backend] POST /api/v1/login 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:39.447447 CRITICAL  [Backend] POST /api/v1/dashboard 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:39.447460 CRITICAL  [SearchService] GET /api/v1/search 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:41.453820 CRITICAL  [SearchService] GET /api/v1/search 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:41.453858 CRITICAL  [UserService] POST /api/v1/user/profile 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:41.453874 CRITICAL  [Backend] POST /api/v1/dashboard 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:41.453886 CRITICAL  [Backend] POST /api/v1/login 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:41.453897 CRITICAL  [Backend] GET /api/v1/dashboard 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:41.453908 CRITICAL  [Backend] GET /api/v1/dashboard 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:41.453918 CRITICAL  [UserService] GET /api/v1/user/profile 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:43.456257 CRITICAL  [Backend] GET /api/v1/login 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:43.456290 CRITICAL  [SearchService] GET /api/v1/search 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:43.456302 CRITICAL  [SearchService] POST /api/v1/search 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:43.456310 CRITICAL  [SearchService] GET /api/v1/search 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:43.456316 CRITICAL  [SearchService] POST /api/v1/search 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:43.456323 CRITICAL  [Backend] POST /api/v1/dashboard 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:43.456330 CRITICAL  [Backend] GET /api/v1/dashboard 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:45.458668 CRITICAL  [UserService] POST /api/v1/user/profile 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:45.458698 CRITICAL  [UserService] POST /api/v1/user/profile 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:45.458706 CRITICAL  [Backend] POST /api/v1/login 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:45.458713 CRITICAL  [Backend] POST /api/v1/dashboard 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:45.458719 CRITICAL  [UserService] GET /api/v1/user/profile 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:47.464866 CRITICAL  [Backend] GET /api/v1/dashboard 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:47.464895 CRITICAL  [UserService] GET /api/v1/user/profile 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:47.464906 CRITICAL  [Backend] POST /api/v1/login 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:47.464912 CRITICAL  [UserService] POST /api/v1/user/profile 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:47.464917 CRITICAL  [UserService] POST /api/v1/user/profile 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:47.464923 CRITICAL  [UserService] POST /api/v1/user/profile 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:47.464928 CRITICAL  [UserService] POST /api/v1/user/profile 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:47.464932 CRITICAL  [Backend] POST /api/v1/dashboard 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:47.464938 CRITICAL  [Backend] GET /api/v1/dashboard 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:47.464943 CRITICAL  [UserService] GET /api/v1/user/profile 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:49.873793 CRITICAL  [SearchService] POST /api/v1/search 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:49.873829 CRITICAL  [Backend] POST /api/v1/dashboard 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:49.873839 CRITICAL  [Backend] POST /api/v1/dashboard 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:49.873845 CRITICAL  [Backend] GET /api/v1/dashboard 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:49.873849 CRITICAL  [Backend] GET /api/v1/dashboard 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:49.873857 CRITICAL  [Backend] POST /api/v1/dashboard 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:49.873862 CRITICAL  [SearchService] GET /api/v1/search 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:49.873867 CRITICAL  [UserService] GET /api/v1/user/profile 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:49.873872 CRITICAL  [Backend] POST /api/v1/login 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:49.873877 CRITICAL  [UserService] GET /api/v1/user/profile 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:49.873883 CRITICAL  [SearchService] GET /api/v1/search 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:51.877280 CRITICAL  [SearchService] GET /api/v1/search 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:51.877339 CRITICAL  [Backend] GET /api/v1/login 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:51.877392 CRITICAL  [UserService] POST /api/v1/user/profile 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:51.877408 CRITICAL  [UserService] GET /api/v1/user/profile 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:51.877418 CRITICAL  [Backend] GET /api/v1/login 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:51.877429 CRITICAL  [SearchService] POST /api/v1/search 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:51.877440 CRITICAL  [Backend] GET /api/v1/dashboard 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:51.877450 CRITICAL  [Backend] POST /api/v1/dashboard 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:51.877461 CRITICAL  [Backend] POST /api/v1/login 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:51.877471 CRITICAL  [Backend] GET /api/v1/login 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:51.877481 CRITICAL  [Backend] POST /api/v1/dashboard 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:51.877491 CRITICAL  [Backend] GET /api/v1/login 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:51.877501 CRITICAL  [SearchService] POST /api/v1/search 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:53.883203 CRITICAL  [Backend] POST /api/v1/dashboard 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:53.883239 CRITICAL  [Backend] GET /api/v1/login 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:53.883253 CRITICAL  [Backend] GET /api/v1/dashboard 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:53.883262 CRITICAL  [Backend] GET /api/v1/login 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:53.883270 CRITICAL  [SearchService] GET /api/v1/search 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:53.883280 CRITICAL  [SearchService] GET /api/v1/search 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:53.883288 CRITICAL  [Backend] POST /api/v1/dashboard 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:53.883296 CRITICAL  [Backend] POST /api/v1/dashboard 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:55.890099 CRITICAL  [SearchService] GET /api/v1/search 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:55.890146 CRITICAL  [UserService] POST /api/v1/user/profile 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:55.890164 CRITICAL  [SearchService] GET /api/v1/search 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:55.890176 CRITICAL  [Backend] POST /api/v1/login 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:55.890187 CRITICAL  [Backend] GET /api/v1/login 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:55.890198 CRITICAL  [UserService] POST /api/v1/user/profile 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:55.890208 CRITICAL  [Backend] POST /api/v1/dashboard 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:55.890218 CRITICAL  [Backend] POST /api/v1/login 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:57.897364 CRITICAL  [SearchService] GET /api/v1/search 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:57.897435 CRITICAL  [SearchService] GET /api/v1/search 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:57.897454 CRITICAL  [Backend] POST /api/v1/login 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:57.897469 CRITICAL  [Backend] GET /api/v1/dashboard 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:14:57.897485 CRITICAL  [Backend] GET /api/v1/login 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:00.825936 CRITICAL  [UserService] POST /api/v1/user/profile 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:00.825967 CRITICAL  [Backend] GET /api/v1/dashboard 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:00.825978 CRITICAL  [SearchService] GET /api/v1/search 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:00.825984 CRITICAL  [Backend] GET /api/v1/login 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:00.825989 CRITICAL  [Backend] GET /api/v1/login 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:00.825995 CRITICAL  [SearchService] POST /api/v1/search 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:00.826001 CRITICAL  [UserService] POST /api/v1/user/profile 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:00.826006 CRITICAL  [UserService] POST /api/v1/user/profile 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:00.826011 CRITICAL  [Backend] POST /api/v1/dashboard 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:00.826017 CRITICAL  [Backend] POST /api/v1/dashboard 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:00.826022 CRITICAL  [SearchService] POST /api/v1/search 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:02.829726 CRITICAL  [Backend] POST /api/v1/dashboard 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:02.829755 CRITICAL  [UserService] GET /api/v1/user/profile 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:02.829766 CRITICAL  [SearchService] GET /api/v1/search 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:02.829772 CRITICAL  [SearchService] POST /api/v1/search 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:02.829777 CRITICAL  [SearchService] POST /api/v1/search 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:02.829782 CRITICAL  [Backend] POST /api/v1/login 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:02.829788 CRITICAL  [UserService] GET /api/v1/user/profile 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:04.831722 CRITICAL  [Backend] POST /api/v1/dashboard 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:04.831789 CRITICAL  [Backend] POST /api/v1/dashboard 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:04.831830 CRITICAL  [Backend] GET /api/v1/dashboard 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:04.831846 CRITICAL  [SearchService] GET /api/v1/search 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:04.831859 CRITICAL  [Backend] GET /api/v1/login 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:04.831871 CRITICAL  [SearchService] GET /api/v1/search 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:06.833596 CRITICAL  [SearchService] POST /api/v1/search 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:06.833614 CRITICAL  [Backend] GET /api/v1/dashboard 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:06.833622 CRITICAL  [Backend] GET /api/v1/dashboard 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:06.833627 CRITICAL  [Backend] GET /api/v1/dashboard 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:06.833632 CRITICAL  [SearchService] POST /api/v1/search 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:06.833636 CRITICAL  [Backend] GET /api/v1/dashboard 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:06.833640 CRITICAL  [UserService] POST /api/v1/user/profile 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:06.833645 CRITICAL  [Backend] POST /api/v1/login 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:08.840077 CRITICAL  [SearchService] POST /api/v1/search 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:08.840117 CRITICAL  [SearchService] GET /api/v1/search 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:08.840133 CRITICAL  [SearchService] POST /api/v1/search 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:08.840144 CRITICAL  [SearchService] GET /api/v1/search 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:08.840154 CRITICAL  [Backend] GET /api/v1/login 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:08.840166 CRITICAL  [UserService] GET /api/v1/user/profile 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:08.840177 CRITICAL  [Backend] POST /api/v1/dashboard 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:08.840187 CRITICAL  [Backend] GET /api/v1/login 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:08.840197 CRITICAL  [Backend] POST /api/v1/login 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:08.840207 CRITICAL  [UserService] GET /api/v1/user/profile 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:08.840216 CRITICAL  [Backend] POST /api/v1/login 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:11.272919 CRITICAL  [Backend] GET /api/v1/login 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:11.272947 CRITICAL  [SearchService] GET /api/v1/search 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:11.272957 CRITICAL  [SearchService] GET /api/v1/search 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:11.272963 CRITICAL  [UserService] GET /api/v1/user/profile 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:11.272971 CRITICAL  [Backend] POST /api/v1/login 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:11.272976 CRITICAL  [Backend] POST /api/v1/login 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:11.272981 CRITICAL  [SearchService] POST /api/v1/search 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:11.272987 CRITICAL  [UserService] POST /api/v1/user/profile 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:13.275192 CRITICAL  [SearchService] POST /api/v1/search 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:13.275221 CRITICAL  [Backend] POST /api/v1/dashboard 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:13.275230 CRITICAL  [Backend] GET /api/v1/login 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:13.275236 CRITICAL  [Backend] POST /api/v1/login 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:13.275242 CRITICAL  [Backend] GET /api/v1/dashboard 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:13.275248 CRITICAL  [UserService] POST /api/v1/user/profile 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:15.279689 CRITICAL  [SearchService] POST /api/v1/search 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:15.279732 CRITICAL  [Backend] POST /api/v1/login 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:15.279749 CRITICAL  [UserService] GET /api/v1/user/profile 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:15.279761 CRITICAL  [SearchService] POST /api/v1/search 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:15.279771 CRITICAL  [SearchService] POST /api/v1/search 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:15.279782 CRITICAL  [UserService] POST /api/v1/user/profile 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:15.279792 CRITICAL  [Backend] GET /api/v1/dashboard 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:15.279802 CRITICAL  [UserService] GET /api/v1/user/profile 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:15.279811 CRITICAL  [SearchService] GET /api/v1/search 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:17.282853 CRITICAL  [SearchService] GET /api/v1/search 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:17.282870 CRITICAL  [SearchService] GET /api/v1/search 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:17.282876 CRITICAL  [SearchService] GET /api/v1/search 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:17.282881 CRITICAL  [UserService] POST /api/v1/user/profile 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:19.288574 CRITICAL  [UserService] GET /api/v1/user/profile 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:19.288612 CRITICAL  [SearchService] GET /api/v1/search 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:19.288624 CRITICAL  [SearchService] POST /api/v1/search 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:19.288630 CRITICAL  [SearchService] GET /api/v1/search 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:19.288636 CRITICAL  [SearchService] GET /api/v1/search 503 - Service Unavailable: Connection refused to backend DB (0.001s)
2026-05-05T14:15:19.288641 CRITICAL  [UserService] POST /api/v1/user/profile 503 - Service Unavailable: Connection refused to backend DB (0.001s)
